Fold,Train_Loss,Val_Loss,Accuracy,Precision,Recall,F1
1,1.9286754149704175,2.214765879572654,0.3422236503856041,0.3989129691700896,0.3422236503856041,0.34954474817846753
2,1.7914027683532636,2.2541361402492135,0.3444730077120823,0.39339050181630325,0.3444730077120823,0.35065565367453466
3,1.9502174982987823,2.230047506945474,0.36354869816779173,0.4370542862747786,0.36354869816779173,0.36693736074038363
4,2.0836769924678658,2.269929528236389,0.3477981356477017,0.4197314564958613,0.3477981356477017,0.36142303335889364
5,2.032447723925573,2.2599764381136214,0.33783349405335905,0.4035091682479306,0.33783349405335905,0.337135818616404
Mean,1.9572840796031805,2.2457710986234707,0.34717539719330776,0.4105196764009927,0.34717539719330776,0.3531393229137367
